seq,symbol,side,type,price,qty,order_id,action,ref_id
1,META,SELL,LIMIT,640.24,5,1,NEW,
2,AMZN,BUY,LIMIT,198.79,6,2,NEW,
3,AMZN,BUY,LIMIT,198.77,43,3,NEW,
4,META,SELL,LIMIT,640.36,1,4,NEW,
5,TSLA,SELL,LIMIT,417.45,51,5,NEW,
6,TSLA,SELL,LIMIT,417.28,18,6,NEW,
7,AAPL,SELL,LIMIT,255.86,53,7,NEW,
8,GOOGL,BUY,LIMIT,305.72,724,8,NEW,
9,META,SELL,LIMIT,640.42,78,9,NEW,
10,TSLA,BUY,LIMIT,417.03,53,10,NEW,
11,META,BUY,LIMIT,640.12,8,11,NEW,
12,MSFT,BUY,LIMIT,401.2,78,12,NEW,
13,GOOGL,SELL,LIMIT,305.89,57,13,NEW,
14,AMZN,BUY,LIMIT,198.8,58,14,NEW,
15,GOOGL,BUY,LIMIT,305.76,51,15,NEW,
16,SPY,BUY,LIMIT,681.61,42,16,NEW,
17,SPY,BUY,LIMIT,681.66,34,17,NEW,
18,GOOGL,BUY,LIMIT,305.72,554,18,NEW,
19,NVDA,SELL,LIMIT,182.84,6,19,NEW,
20,NVDA,SELL,LIMIT,182.82,27,20,NEW,
21,MSFT,SELL,LIMIT,401.39,383,21,NEW,
22,GOOGL,SELL,LIMIT,305.86,986,22,NEW,
23,AAPL,BUY,LIMIT,255.69,99,23,NEW,
24,AMZN,SELL,LIMIT,198.84,735,24,NEW,
25,MSFT,SELL,LIMIT,401.35,61,25,NEW,
26,GOOGL,BUY,LIMIT,305.67,65,26,NEW,
27,TSLA,SELL,LIMIT,417.7,29,27,NEW,
28,GOOGL,SELL,LIMIT,305.91,214,28,NEW,
29,TSLA,SELL,LIMIT,417.85,75,29,NEW,
30,GOOGL,SELL,LIMIT,305.92,11,30,NEW,
31,AMZN,BUY,LIMIT,198.85,35,31,NEW,
32,META,SELL,LIMIT,640.39,17,32,NEW,
33,GOOGL,BUY,LIMIT,305.81,37,33,NEW,
34,MSFT,SELL,LIMIT,401.3,98,34,NEW,
35,SPY,SELL,LIMIT,681.88,14,35,NEW,
36,MSFT,BUY,LIMIT,401.15,97,36,NEW,
37,TSLA,SELL,LIMIT,417.83,40,37,NEW,
38,AAPL,BUY,LIMIT,255.67,75,38,NEW,
39,AAPL,SELL,LIMIT,255.82,41,39,NEW,
40,TSLA,SELL,LIMIT,418.02,51,40,NEW,
41,AAPL,BUY,LIMIT,255.73,22,41,NEW,
42,META,SELL,LIMIT,640.04,60,42,NEW,
43,GOOGL,SELL,LIMIT,305.89,65,43,NEW,
44,SPY,BUY,LIMIT,681.66,5,44,NEW,
45,AMZN,SELL,LIMIT,198.87,88,45,NEW,
46,GOOGL,SELL,LIMIT,305.88,11,46,NEW,
