seq,symbol,side,type,price,qty,peak_qty,order_id,action,ref_id
1,SPY,BUY,LIMIT,681.84,13,,1,NEW,
2,TSLA,SELL,LIMIT,417.33,47,,2,NEW,
3,AAPL,BUY,LIMIT,255.76,99,,3,NEW,
4,AAPL,BUY,LIMIT,255.63,96,,4,NEW,
5,NVDA,BUY,LIMIT,182.84,74,,5,NEW,
6,NVDA,SELL,LIMIT,182.89,54,,6,NEW,
7,SPY,SELL,LIMIT,682.08,32,,7,NEW,
8,MSFT,SELL,LIMIT,401.42,34,,8,NEW,
9,META,SELL,LIMIT,639.9,53,,9,NEW,
10,META,SELL,LIMIT,640.16,40,,10,NEW,
11,MSFT,BUY,LIMIT,401.34,98,,11,NEW,
12,TSLA,BUY,LIMIT,416.95,46,,12,NEW,
13,MSFT,SELL,LIMIT,401.58,58,,13,NEW,
14,GOOGL,BUY,LIMIT,305.81,34,,14,NEW,
15,SPY,BUY,LIMIT,681.75,25,,15,NEW,
16,MSFT,SELL,LIMIT,401.41,33,,16,NEW,
17,NVDA,BUY,LIMIT,182.85,26,,17,NEW,
18,NVDA,BUY,LIMIT,182.91,81,,18,NEW,
19,NVDA,SELL,LIMIT,182.83,30,,19,NEW,
20,MSFT,BUY,LIMIT,401.3,45,,20,NEW,
21,TSLA,SELL,LIMIT,416.81,71,,21,NEW,
22,MSFT,BUY,LIMIT,401.37,3,,22,NEW,
23,NVDA,BUY,LIMIT,182.9,53,,23,NEW,
24,AMZN,SELL,LIMIT,198.88,420,,24,NEW,
25,TSLA,SELL,LIMIT,416.85,72,,25,NEW,
26,GOOGL,BUY,LIMIT,305.92,84,,26,NEW,
27,GOOGL,BUY,LIMIT,305.78,13,,27,NEW,
28,NVDA,SELL,LIMIT,182.97,23,,28,NEW,
29,SPY,SELL,LIMIT,681.98,74,,29,NEW,
30,GOOGL,SELL,LIMIT,305.99,375,,30,NEW,
31,TSLA,BUY,LIMIT,416.57,40,,31,NEW,
32,TSLA,SELL,LIMIT,416.73,28,,32,NEW,
33,AMZN,BUY,LIMIT,198.82,436,,33,NEW,
34,MSFT,BUY,LIMIT,401.39,86,,34,NEW,
35,NVDA,SELL,LIMIT,182.96,78,,35,NEW,
36,AAPL,SELL,LIMIT,255.64,41,,36,NEW,
37,META,BUY,LIMIT,640.02,26,,37,NEW,
38,GOOGL,BUY,LIMIT,305.81,27,,38,NEW,
39,AAPL,SELL,LIMIT,255.63,537,,39,NEW,
40,AMZN,BUY,LIMIT,198.84,68,,40,NEW,
41,MSFT,BUY,LIMIT,401.5,32,,41,NEW,
42,TSLA,SELL,LIMIT,416.78,5,,42,NEW,
